CB,Localisation,Cote,Sous-localisation,Type de document,Titre,Auteur,Editeur,Date de publication,Date de création
*211364614*,CEVMAG,028.5 PAT,JEU,DOJ,Laissez-les lire !,Geneviève Patte,Editions ouvrières,1978,12/09/1994
*21269152*,MEIADU,801 WEI,,DOA,La magie des grimoires,Nicolas Weill-Parot,Transboréal,2009,10/02/2012
*21513236*,CEVADU,801 WEI,,DOA,La magie des grimoires,Nicolas Weill-Parot,Transboréal,2009,17/02/2012
*21626786*,CTKACTU,020 LED,BP,FORM,La formation aux cultures numériques,Olivier Le Deuff,Fyp éditions,2011,28/05/2013
*22002758*,CTKACTU,020 VAI,,FORM,Préparer le concours de bibliothécaire,"Clotilde Vaissaire-Agard, Françoise Quaire, Alain Patez",Éd. Klog,2013,13/12/2013
*22061556*,CTKACTU,025 ASS,BP,FORM,Le métier de bibliothécaire,Association des bibliothécaires de France,Éd. du Cercle de la librairie,2013,29/11/2013
*22061581*,CTKACTU,025 ASS,BP,FORM,Le métier de bibliothécaire,Association des bibliothécaires de France,Éd. du Cercle de la librairie,2013,29/11/2013
*22359172*,CTKACTU,027 STA,BP,FORM,Crépuscule des bibliothèques,Virgile Stark,les Belles lettres,2015,27/05/2015
*22401232*,NDFADU,020 DOC,,PEA,I2D,,ADBS,,09/07/2015
*2258878X*,NDFADU,020 DOC,,PEA,I2D,,ADBS,,07/04/2015
*22590046*,NDFADU,020 DOC,,PEA,I2D,,ADBS,,07/01/2015
*4489255*,CEVJEU,,,ORJ,Le Métier de bibliothécaire,Association des bibliothécaires français,Promodis,1989,19/04/1995
*7967633*,CEVMAG,BP 028 PET,ADU,DOA,De la bibliothèque au droit de cité,"Michèle Petit, Chantal Balley, Raymonde Ladefroux","Bibliothèque publique d'information, Centre Georges-Pompidou",1996,09/06/1998
*880850044876*,ILLKDOC,020 POI,,ORA,Concours de recrutement de bibliothécaires,"Ministère de l'éducation nationale, de l'enseignement supérieur et de la recherche, École nationale supérieure des sciences de l'information et des bibliothèques",Presses de l'ENSSIB,2005,01/06/2007
*88085006822X*,ILLKDOC,020.92 SIB,BIBPRO,DOA,Mémoires d'une bibliothécaire,Brigitte Sibertin-Blanc Durand,"Confluences, les Amis de la bibliothèque municipale de Compiègne",2004,14/12/2006
,,,,,,,Société historique de Compiègne,,
*880850166508*,ILLKDOC,A 020 JOM,,DVDAD,"L'Ill aux livres, notes d'un voyage dans la Bibliothèque Nationale et Universitaire de Strasbourg",Réalisé par Alain Jomy,Le meilleur des mondes productions,2004,31/10/2007
*880850196517*,ILLKDOC,352.63 THI,,DOA,Concours d'assistant territorial (qualifié) de conservation du patrimoine et des bibliothèques,"Jean-Yves Thiébault, Françoise Thiébault-Roger",Vuibert,2005,20/09/2006
*880850302291*,ILLKDOC,944.081 6 COE,,DOA,La mémoire spoliée,Sophie Coeuré,Payot,2006,31/12/2009
*880850339319*,ILLKDOC,025 CAL,,DOA,"Bibliothécaire, quel métier ?",sous la dir. de Bertrand Calenge,Éd. du Cercle de la librairie,2004,02/07/2009
*88085036089X*,ILLKDOC,025 MET,,DOA,Le métier de bibliothécaire,Association des bibliothécaires de France,Éd. du Cercle de la librairie,2010,13/12/2012
*880850475137*,ILLKDOC,020 BON,CAVERNE,DOA,Des bibliothèques pleines de fantômes,Jacques Bonnet,Denoel,2008,14/01/2009
*880850498010*,ILLKDOC,020 CHA,BIBPRO,DOA,Document et numérisation,Jacques Chaumier,ADBS éd.,2006,10/10/2009
*880850503477*,ILLKDOC,020 ALI,SALLE,DOA,Le métier de bibliothécaire,Association des bibliothécaires de France,Éd. du Cercle de la librairie,2010,31/08/2010
*880850892731*,ILLKDOC,020 WEI,,DOA,La magie des grimoires,Nicolas Weill-Parot,Transboréal,2009,20/09/2013
*880860028226*,AUSTFORM,FP 010 BLA,,FORM,Sciences de l'information et philosophie,Marie-France Blanquet,ADBS,1997,30/07/2007
*880860028238*,AUSTFORM,FP 010 DIC,,FORM,Dictionnaire de l'information,"comité de réd., Yves Le Coadic, Paul-Dominique Pomart, Eric Sutter",A. Colin,2004,30/07/2007
*880860028250*,AUSTFORM,FP 010 VOC,,FORM,Vocabulaire de la documentation,INTD-ER...,ADBS éd.,2004,30/07/2007
