CB,Localisation,Cote,Sous-localisation,Type de document,Titre,Auteur,Editeur,Date de publication,Date de création
*880863606793*,AUSTSOCI,384.3 COM,,DOA,Préparer le concours de bibliothécaire assistant spécialisé (BibAS) de classe supérieure,"Anne Le Foll, Alain Patez",Éd. Klog,2014,20/02/2015
*880863816863*,AUSTSOCI,020 PUB,,PEA,Publics,,Conseil Général du Bas-Rhin,,21/02/2013
*880863859652*,AUSTSOCI,384.3 COM,,DOA,Assistant territorial (principal) de conservation du patrimoine et des bibliothèques,"Albane Lejeune, Delphine Pointeau",Vuibert,2013,21/08/2013
*880863913186*,AUSTSOCI,020 PUB,,NU,Publics,,Conseil Général du Bas-Rhin,,05/03/2014
*880863914678*,AUSTFORM,FP 384.3 CAT C,,FORM,Adjoint territorial du patrimoine de 1re classe,Pierre Maubé,Groupe Studyrama,2014,14/03/2014
*880863915750*,AUSTSOCI,384.3 COM,,DOA,Adjoint territorial du patrimoine de 1re classe,Pierre Maubé,Groupe Studyrama,2014,14/03/2014
*880863977282*,AUSTFORM,FP 384.3 CAT B,,FORM,Préparer le concours de bibliothécaire assistant spécialisé (BibAs) de classe normale,"Clotilde Vaissaire-Agard, Alain Patez",Éd. Klog,2014,12/12/2014
*880864084082*,AUSTSOCI,384.3 COM,,DOA,Préparer le concours de bibliothécaire assistant spécialisé (BibAs) de classe normale,"Clotilde Vaissaire-Agard, Alain Patez",Éd. Klog,2014,04/11/2014
*880864227517*,AUSTSOCI,020 STA,,DOA,Crépuscule des bibliothèques,Virgile Stark,les Belles lettres,2015,24/07/2015
*880864291802*,AUSTARTS,709.944 PRA,,DVDAD,Coffre précieux,"Mathieu Pradat, réal.",On Stage Production,2013,27/08/2014
*880864695928*,AUSTFORM,FP 384.3 CAT B,,FORM,Préparer le concours de bibliothécaire assistant spécialisé (BibAS) de classe supérieure,"Anne Le Foll, Alain Patez",Éd. Klog,2014,01/04/2015
*880864909286*,AUSTPAT,020 ARC,TPAT,AUT,Revue de la Bibliothèque nationale de France.,dossier sous la direction de Thierry Grillet,Bibliothèque nationale de France,2014,24/03/2016
*880890139354*,LINGOALSA,A 020 JOM,,DVDAD,"L'Ill aux livres, notes d'un voyage dans la Bibliothèque Nationale et Universitaire de Strasbourg",Réalisé par Alain Jomy,Le meilleur des mondes productions,2004,02/08/2012
*880890292763*,LINGODOCA,IDE 4,COMP,DOA,Des bibliothèques pleines de fantômes,Jacques Bonnet,Denoel,2008,16/07/2009
*880890629282*,LINGODOCA,CONC FP 1,TA,DOA,Assistant territorial (qualifié) de conservation du patrimoine et des bibliothèques,"Jean-Yves Thiébault, Françoise Thiébault-Roger",Vuibert,2010,13/04/2011
*880890793790*,LINGOACTU,020 MET,RESE,DOA,Le métier de bibliothécaire,Association des bibliothécaires de France,Éd. du Cercle de la librairie,2013,12/07/2014
*C0000425959*,CEVMAG,020 RIC,,DOA,"Lecture populaire et ouvrière, lecture et travail",Richter,Société d'histoire de la lecture,1998,
*C0000452401*,ILLKDOC,025 DES,BIBPRO,DOA,Les métamorphoses du lecteur,sous la dir. de Christian Jacob,Bibliothèque nationale de France,2002,
*C0000501674*,ILLKDOC,020 MEL,,DOA,La sagesse du bibliothécaire,Michel Melot,l'Oeil neuf éd.,2004,
*C0000542701*,ILLKDOC,020 ECO,,DOA,De bibliotheca,Umberto Eco,l'Échoppe,1986,
*HLOCSET*,,,,,,,,,
*MOD 254974*,AUSTPAT,MOD 254974,MOD,AUT,Le Métier de bibliothécaire,Association des bibliothécaires français,Promodis,1989,06/10/2011
*MOD 254975*,AUSTPAT,MOD 254975,MOD,AUT,Le Métier de bibliothécaire,Association des bibliothécaires français,Promodis,1989,06/10/2011
*MOD 256929 (1)*,AUSTPAT,MOD 256929 (1),MOD,AUT,Histoire des bibliothèques françaises,sous la direction d'André Vernet,Promodis - Editions du Cercle de la librairie,impr. 1989,18/12/2014
*MOD 256929 (2)*,AUSTPAT,MOD 256929 (2),MOD,AUT,Histoire des bibliothèques françaises,"sous la dir. de Claude Jolly,...",Promodis-Éd. du Cercle de la Librairie,impr. 1988,18/12/2014
*MOD 256929 (3)*,AUSTPAT,MOD 256929 (3),MOD,AUT,Histoire des bibliothèques françaises,"sous la dir. de Dominique Varry,...",Promodis-Éd. du Cercle de la librairie,impr. 1991,18/12/2014
*MOD 256929 (4)*,AUSTPAT,MOD 256929 (4),MOD,AUT,Histoire des bibliothèques françaises,"sous la dir. de Martine Poulain,...",Promodis-Éd. du Cercle de la librairie,impr. 1992,18/12/2014
*MOD 256968*,AUSTPAT,MOD 256968,MOD,AUT,"Livres pillés, lectures surveillées",Martine Poulain,Gallimard,2013,05/03/2015
*MOD 257040*,AUSTPAT,MOD 257040,MOD,AUT,Mémoires d'une bibliothécaire,Brigitte Sibertin-Blanc Durand,"Confluences, les Amis de la bibliothèque municipale de Compiègne",2004,08/08/2015
,,,,,,,Société historique de Compiègne,,
*MOD 257046*,AUSTPAT,MOD 257046,MOD,AUT,De bibliotheca,Umberto Eco,l'Échoppe,1986,11/08/2015
